Transaksjoner
"2025-02-14: KJØPTE KOG.OL for 300.0 (RSI: 11.4, MA10 < MA30)"
"2025-02-18: KJØPTE BTC-USD for 210.0 (RSI: 27.4, MA10 < MA30)"
"2025-02-19: KJØPTE BTC-USD for 147.0 (RSI: 27.7, MA10 < MA30)"
"2025-02-19: KJØPTE ETH-USD for 102.9 (RSI: 29.7, MA10 < MA30)"
"2025-02-20: KJØPTE ETH-USD for 72.03 (RSI: 28.3, MA10 < MA30)"
"2025-02-26: KJØPTE BTC-USD for 50.42 (RSI: 26.2, MA10 < MA30)"
"2025-02-27: KJØPTE BTC-USD for 35.29 (RSI: 27.3, MA10 < MA30)"
"2025-02-28: KJØPTE BTC-USD for 24.71 (RSI: 24.3, MA10 < MA30)"
"2025-02-28: KJØPTE ETH-USD for 17.29 (RSI: 28.1, MA10 < MA30)"
"2025-02-28: SOLGTE KOG.OL for 355.78 (RSI: 88.7, MA10 > MA30)"
"2025-03-03: KJØPTE ETH-USD for 118.84 (RSI: 27.2, MA10 < MA30)"
"2025-03-04: KJØPTE BTC-USD for 83.19 (RSI: 28.2, MA10 < MA30)"
"2025-03-04: KJØPTE ETH-USD for 58.23 (RSI: 18.2, MA10 < MA30)"
"2025-03-05: KJØPTE ETH-USD for 40.76 (RSI: 26.0, MA10 < MA30)"
"2025-03-06: KJØPTE ETH-USD for 28.53 (RSI: 20.7, MA10 < MA30)"
"2025-03-07: KJØPTE ETH-USD for 19.97 (RSI: 17.8, MA10 < MA30)"
"2025-03-10: KJØPTE BTC-USD for 13.98 (RSI: 26.3, MA10 < MA30)"
"2025-03-10: KJØPTE ETH-USD for 9.79 (RSI: 14.6, MA10 < MA30)"
"2025-03-11: KJØPTE ETH-USD for 6.85 (RSI: 15.6, MA10 < MA30)"
"2025-03-12: KJØPTE ETH-USD for 4.8 (RSI: 13.6, MA10 < MA30)"
"2025-03-13: KJØPTE ETH-USD for 3.36 (RSI: 14.0, MA10 < MA30)"
"2025-03-14: KJØPTE ETH-USD for 2.35 (RSI: 20.0, MA10 < MA30)"
"2025-03-17: KJØPTE ETH-USD for 1.64 (RSI: 21.8, MA10 < MA30)"
"2025-03-18: KJØPTE ETH-USD for 1.15 (RSI: 26.5, MA10 < MA30)"
"2025-03-28: KJØPTE NHY.OL for 0.81 (RSI: 29.4, MA10 < MA30)"
"2025-03-31: KJØPTE NHY.OL for 0.56 (RSI: 24.6, MA10 < MA30)"
"2025-04-01: KJØPTE NHY.OL for 0.39 (RSI: 26.2, MA10 < MA30)"
"2025-04-02: KJØPTE NHY.OL for 0.28 (RSI: 17.8, MA10 < MA30)"
